"lakename","year","season","MUFA_perc","PUFA_perc","SAFA_perc","perc_c18.2w6","perc_c18.3w6","perc_c18.3w3","perc_c18.4w3","perc_c18.5w3","perc_c20.4w6","perc_c20.5w3","perc_c22.6w3"
"Lake Mendota",2013,"iceon",30.3580150978756,33.4038652079227,33.9989354982786,8.21024639351239,1.60068714033411,12.3178284119412,1.50953508395166,4.88805313087058,0.240424891324383,1.6878874262567,0.56879703861786
"Lake Monona",1995,"iceoff",21.0962316042775,36.4134636290021,39.3642781699011,11.2908412340508,2.06257148858538,17.297000896262,1.40644195851646,0.382983580865014,0.0176337081708605,0.247672775566631,0.0868046047261823
"Lake Monona",1995,"iceon",32.7903180010417,35.1917898873455,30.3909764352932,6.5212157460319,1.27506921765172,11.2851275596454,3.11665518750487,6.94944657654363,0.367783689184918,2.60364880123156,0.980260429614856
"Lake Monona",1996,"iceoff",20.9970594547331,35.299895239044,40.3733650645686,11.5638898541116,2.14268348677805,16.9046405189152,0.9908640408301,0.0692730979282512,0.00418929885898364,0.152194677776604,0.0319459504887244
"Lake Monona",1996,"iceon",20.3827371070389,37.6145061816785,38.9084958749857,10.9461924353373,1.99534821566158,17.2458755887498,2.47094028281944,0.573708656100852,0.0588470897082335,0.60293957143679,0.284669199923902
"Lake Monona",1999,"iceoff",21.0038746489945,35.593350736001,40.1183543428426,11.4672197483903,2.1195872918782,16.9464563811821,1.15972501958972,0.167922238635163,0.0114059959918628,0.208046795059904,0.0616530436395442
"Lake Monona",1999,"iceon",21.5258382269658,37.0015073238018,38.5226707682737,11.0640484272563,2.0005088804182,17.4959262752838,1.54383757069977,0.703869814868091,0.0261215030714537,0.293219145159069,0.105811632334791
"Lake Monona",2000,"iceoff",21.0784292586749,35.8471602316709,39.8505008384051,11.4211330342863,2.10145610935295,17.093706679265,1.19070996441429,0.238048706192889,0.0111005417153672,0.200190833507027,0.0587683772557243
"Lake Monona",2000,"iceon",20.7107663787869,37.0761477380377,39.0919355783545,11.0153494062845,2.01640334995235,17.089671777195,2.15113584335998,0.560647970685013,0.051210865906053,0.531438656752485,0.238299516753714
"Lake Monona",2001,"iceoff",22.711360439585,34.8692331470901,39.2827704713206,11.0113719472126,2.05347143902595,16.1267972619321,0.971531515201827,0.89591123463907,0.0409326922578764,0.381153419415495,0.104151614648102
"Lake Monona",2001,"iceon",20.8577278244437,36.0273296189161,39.8728450021497,11.3806610547088,2.09591112114548,17.0592640621246,1.40114826989275,0.23118011440431,0.0186321655463778,0.269320611329254,0.0984090282472758
"Lake Monona",2004,"iceoff",21.0185916394749,35.3902826896385,40.2779304937634,11.5240458580203,2.13395001305396,16.9046410651132,1.04972271457461,0.112459981551029,0.00723574637468995,0.175260622816129,0.0435432915057988
"Lake Monona",2004,"iceon",21.3936136735902,37.8728122710719,37.9172527059092,10.9696771263224,1.95640615036443,17.9646111289667,1.77494664082659,0.802375546247637,0.0263816549538293,0.293514505245086,0.116933455519153
"Lake Monona",2005,"iceoff",21.3853272104896,35.2938104797135,40.046006093768,11.3936278368367,2.11379084137408,16.7084253010247,1.06902854238496,0.299147657125135,0.0167528740712747,0.237745784585524,0.0654877433652575
"Lake Monona",2005,"iceon",20.848602893397,36.065494344532,39.8415267299531,11.3327917880493,2.08955085273312,16.9846126680469,1.49670727411897,0.270881058424737,0.0243841692214395,0.316141451986444,0.121628336618323
"Lake Monona",2007,"iceoff",21.0434577465647,35.7925922609171,39.9156606182552,11.3883452621377,2.1014970562175,16.9621146568663,1.27741118653064,0.253901389271803,0.0171571161816139,0.251390929617628,0.083744228537374
"Lake Monona",2007,"iceon",20.8364320525952,36.4461279483448,39.5371177538713,11.2661303590118,2.06629694183708,17.1552601919128,1.61718752071833,0.345447061795572,0.0266646907977263,0.331932140591932,0.1331516757301
